Homann	Mitchell	Noble	GRACE
	orf19.7472	orf19.3417	orf19.250
	orf19.6344	orf19.3418	orf19.1564
	orf19.4428	orf19.3422	orf19.5323
	orf19.1614	orf19.3434	orf19.5171
	orf19.4369	orf19.3438	orf19.1548
	orf19.3818	orf19.3449	orf19.5627
	orf19.8837	orf19.3453	orf19.5117
	orf19.11598	orf19.3470	orf19.829
	orf19.3906	orf19.3488	orf19.6000
	orf19.7016	orf19.3534	orf19.4809
	orf19.7400	orf19.3574	orf19.2929
	orf19.9331	orf19.3575	orf19.4152
	orf19.6185	orf19.3592	orf19.7478
	orf19.3678	orf19.3615	orf19.5463
	orf19.4535	orf19.3618	orf19.406
	orf19.7194	orf19.3665	orf19.3174
	orf19.5001	orf19.3667	orf19.5949
	orf19.4244	orf19.3680	orf19.4882
	orf19.658	orf19.3693	orf19.6511
	orf19.8326	orf19.3707	orf19.5759
	orf19.3530	orf19.3710	orf19.3740
	orf19.6194	orf19.3720	orf19.6034
	orf19.6100	orf19.3722	orf19.4618
	orf19.1510	orf19.3736	orf19.7265
	orf19.4214	orf19.3753	orf19.7572
	orf19.4285	orf19.3763	orf19.5364
	orf19.3125	orf19.3765	orf19.1011
	orf19.7208	orf19.3794	orf19.136
	orf19.5866	orf19.3799	orf19.7124
	orf19.2938	orf19.3803	orf19.5964
	orf19.9115	orf19.3811	orf19.4650
	orf19.12706	orf19.3829	orf19.5808
	orf19.6850	orf19.3839	orf19.3792
	orf19.1252	orf19.3845	orf19.3363
	orf19.5352	orf19.3854	orf19.6460
	orf19.7451	orf19.3863	orf19.6804
	orf19.7401	orf19.3885	orf19.2281
	orf19.271	orf19.3895	orf19.1306
	orf19.1394	orf19.3912	orf19.3539
	orf19.2901	orf19.3928	orf19.4930
	orf19.6737	orf19.3936	orf19.6155
	orf19.811	orf19.3944	orf19.2462
	orf19.2808	orf19.3966	orf19.5294
	orf19.769	orf19.3982	orf19.4927
	orf19.7207	orf19.3995	orf19.2501
	orf19.530	orf19.4002	orf19.6323
	orf19.4979	orf19.4011	orf19.5917
	orf19.7381	orf19.4012	orf19.639
	orf19.7400	orf19.4014	orf19.1862
	orf19.6950	orf19.4015	orf19.3533
	orf19.14148	orf19.4035	orf19.652
	orf19.4409	orf19.4036	orf19.696
	orf19.4872	orf19.4041	orf19.1528
	orf19.4513	orf19.4056	orf19.4816
	orf19.6971	orf19.4084	orf19.4887
	orf19.2270	orf19.4089	orf19.1250
	orf19.3190	orf19.4135	orf19.2934
	orf19.7410	orf19.4157	orf19.3367
	orf19.4440	orf19.4174	orf19.203
	orf19.13704	orf19.4175	orf19.6717
