Homann	Mitchell	Noble	GRACE
			orf19.1575
			orf19.4334
			orf19.4365
			orf19.2160
			orf19.4131
			orf19.6595
			orf19.1559
			orf19.5667
			orf19.769
			orf19.3555
			orf19.2886
			orf19.1836
			orf19.517
			orf19.331
			orf19.2600
			orf19.4551
			orf19.3941
			orf19.4016
			orf19.3369
			orf19.4410
			orf19.4473
			orf19.2298
			orf19.3037
			orf19.2857
			orf19.2090
			orf19.3086
			orf19.1531
			orf19.6863
			orf19.6889
			orf19.3641
			orf19.1033
			orf19.5530
			orf19.7611
			orf19.2114
			orf19.5006
			orf19.3700
			orf19.3290
			orf19.6988
			orf19.1586
			orf19.2755
			orf19.1664
			orf19.7594
			orf19.5784
			orf19.2461
			orf19.3765
			orf19.1480
			orf19.5657
			orf19.395
			orf19.494
			orf19.4822
			orf19.6977
			orf19.10
			orf19.211
			orf19.5921
			orf19.781
			orf19.7002
			orf19.2644
			orf19.4325
			orf19.4905
			orf19.428
			orf19.3544
			orf19.2772
			orf19.444
			orf19.4006
			orf19.5553
			orf19.2762
			orf19.1797
			orf19.866
			orf19.4718
			orf19.5924
			orf19.1911
			orf19.3230
			orf19.2792
			orf19.3391
			orf19.5295
			orf19.7479
			orf19.1608
			orf19.2467
			orf19.7140
			orf19.4804
			orf19.3901
			orf19.1070
			orf19.5297
			orf19.604
			orf19.2553
			orf19.2248
			orf19.6059
			orf19.2112
			orf19.2434
			orf19.4950
			orf19.4593
			orf19.4755
			orf19.4821
			orf19.4571
			orf19.7388
			orf19.1325
			orf19.4916
			orf19.732
			orf19.7091
			orf19.7590
			orf19.5352
			orf19.6794
			orf19.895
			orf19.7339
			orf19.7281
			orf19.7513
			orf19.3100
			orf19.6327
			orf19.7512
			orf19.1042
			orf19.906
			orf19.6225
			orf19.4088
			orf19.2334
			orf19.2319
			orf19.3496
			orf19.2747
			orf19.3921
			orf19.1154
			orf19.4219
			orf19.6610
			orf19.2481
			orf19.1953
			orf19.3368
			orf19.7448
			orf19.898
			orf19.2157
			orf19.117
			orf19.5293
			orf19.4892
			orf19.1648
			orf19.5043
			orf19.3228
			orf19.5728
			orf19.3874
			orf19.7107
			orf19.4658
			orf19.1580
			orf19.4933
			orf19.4831
			orf19.5081
			orf19.4581
			orf19.3585
			orf19.6536
			orf19.1791
			orf19.3293
			orf19.1251
			orf19.5090
			orf19.1989
			orf19.4764
			orf19.287
			orf19.3152
			orf19.2285
			orf19.3932
			orf19.4836
			orf19.7638
			orf19.6830
			orf6.2938
			orf19.1857
			orf19.6586
			orf19.4984
			orf19.3329
			orf19.147
			orf19.7355
			orf19.4112
			orf19.3699
			orf19.4981
			orf19.4906
			orf19.2990
			orf19.4316
			orf19.2941
			orf19.2282
			orf19.4147
			orf19.6127
			orf19.5411
			orf19.7238
			orf19.2514
			orf19.4372
			orf19.2838
			orf19.4773
			orf19.2836
			orf19.2463
			orf19.3957
			orf19.728
			orf19.3126
			orf19.721
			orf19.4921
			orf19.3720
			orf19.7314
			orf19.7061
			orf19.3356
			orf19.6193
			orf19.1923
			orf19.916
			orf19.5098
			orf19.3846
			orf19.3462
			orf19.6898
			orf19.6912
			orf19.2059
			orf19.6531
			orf19.3016
			orf19.4118
			orf19.5326
			orf19.7296
			orf19.7337
			orf19.7071
			orf19.5392
			orf19.5393
			orf19.5182
			orf19.1446
			orf19.1682
			orf19.3468
			orf19.5440
			orf19.723
			orf19.2828
			orf19.5827
			orf19.2921
			orf19.2511
			orf19.3042
			orf19.330
			orf19.3321
			orf19.6562
			orf19.5730
			orf19.7440
			orf19.889
			orf19.2618
			orf19.5206
			orf19.2622
			orf19.7115
			orf19.3815
			orf19.7585
			orf19.5729
			orf19.1887
			orf19.4324
			orf19.2926
			orf19.1047
			orf19.7668
			orf19.2416
			orf19.4772
			orf19.4029
			orf19.6259
			orf19.3804
			orf19.4024
			orf19.1419
			orf19.2594
			orf19.674
			orf19.500
			orf19.4232
			orf19.1458
			orf19.3161
			orf19.3409
			orf19.2790
			orf19.4348
			orf19.2340
			orf19.4928
			orf19.4757
			orf19.2386
			orf19.4265
			orf19.581
			orf19.1066
			orf19.6012
			orf19.300
			orf19.1062
			orf19.782
			orf19.3912
			orf19.4668
			orf19.5605
			orf19.5611
			orf19.3432
			orf19.3679
			orf19.4175
			orf19.6653
			orf19.26
			orf19.6606
			orf19.6271
			orf19.4943
			orf19.3010
			orf19.2312
			orf19.6344
			orf19.2988
			orf19.3240
			orf19.25
			orf19.1667
			orf19.4381
			orf19.4290
			orf19.6263
			orf19.1890
			orf19.3112
			orf19.809
			orf19.2948
			orf19.2947
			orf19.2946
			orf19.3122
			orf19.3106
			orf19.3319
			orf19.2956
			orf19.5838
			orf19.1421
			orf19.2952
			orf19.863
			orf19.3227
			orf19.669
			orf19.6992
			orf19.6596
			orf19.756
			orf19.5521
			orf19.1191
			orf19.2517
			orf19.1341
			orf19.701
			orf19.3532
			orf19.5058
			orf19.7514
			orf19.7514
			orf19.2264
			orf19.7088
			orf19.3267
			orf19.6984
			orf19.2077
			orf19.896
			orf19.3444
			orf19.5164
			orf19.6659
			orf19.1465
			orf19.6643
			orf19.1637
			orf19.6868
			orf19.668
			orf19.6844
			orf19.2966
			orf19.1427
			orf19.4545
			orf19.6847
			orf19.4780
			orf19.6086
			orf19.7427
			orf19.6602
			orf19.5832
			orf19.1124
			orf19.7383
			orf19.3686
			orf19.7490
			orf19.7112
			orf19.7319
			orf19.7322
			orf19.5029
			orf19.5031
			orf19.7313
			orf19.3232
			orf19.7565
			orf19.5418
			orf19.7619
			orf19.7666
			orf19.7428
			orf19.7637
			orf19.7092
			orf19.5919
			orf19.4592
			orf19.6986
			orf19.5159
			orf19.6916
			orf19.4010
			orf19.3995
			orf19.3308
			orf19.6848
			orf19.7369
			orf19.3219
			orf19.4907
			orf19.387
			orf19.3445
			orf19.388
			orf19.6680
			orf19.2951
			orf19.690
			orf19.2970
			orf19.2546
			orf19.4197
			orf19.4737
			orf19.3222
			orf19.6570
			orf19.3412
			orf19.5238
			orf19.4768
			orf19.3065
			orf19.1538
			orf19.1079
			orf19.7596
			orf19.4579
			orf19.2637
			orf19.6007
			orf19.1675
			orf19.3630
			orf19.6224
			orf19.7056
			orf19.2397
			orf19.3327
			orf19.2192
			orf19.2877
			orf19.843
			orf19.5102
			orf19.6577
			orf19.4704
			orf19.7320
			orf19.7447
			orf19.6407
			orf19.7306
			orf19.7077
			orf19.7464
			orf19.4624
			orf19.7098
			orf19.7331
			orf19.4594
			orf19.5291
			orf19.4735
			orf19.2541
			orf19.2269
			orf19.864
			orf19.2384
			orf19.850
			orf19.240
			orf19.1155
			orf19.1275
			orf19.5534
			orf19.4119
			orf19.1112
			orf19.5532
			orf19.2186
			orf19.3964
			orf19.1686
			orf19.3481
			orf19.277
			orf19.1723
			orf19.2608
			orf19.4252
			orf19.5782
			orf19.51
			orf19.2346
			orf19.698
			orf19.6909
			orf19.2528
			orf19.809
			orf19.3592
			orf19.2940
			orf19.2575
			orf19.7370
			orf19.5156
			orf19.1805
			orf19.2115
