YSD	Medium	length	diameter	septum	MI
1403	dextrose	53.872	44.327	12.257	0.336055189
1403	dextrose	74.551	46.595	25.157	0.863840757
1403	dextrose	62.741	41.323	8.055	0.295960188
1403	dextrose	67.046	55.478	14.252	0.31046103
1403	dextrose	105.074	61.799	34.596	0.951827523
1403	dextrose	60.052	47.796	20.243	0.532131841
1403	dextrose	67.846	52.717	14.56	0.355454689
1403	dextrose	64.003	46.212	9.707	0.290921509
1403	dextrose	47.703	33.16	10.77	0.467231755
1403	dextrose	58.549	42.755	12.293	0.393734565
1403	dextrose	56.135	42.169	10	0.31568004
1403	dextrose	462.37	34.986	45.023	17.00730476
1403	dextrose	58.973	51.863	14.142	0.310062172
1403	dextrose	127.694	49.284	10.541	0.554166676
1403	dextrose	65.337	57.477	32.111	0.635074735
1403	dextrose	88.252	42.337	12.684	0.624511771
1403	dextrose	64.801	47.376	11.353	0.327774803
1403	dextrose	412.242	40.089	24.667	6.327295594
1403	dextrose	57.135	46.428	15.463	0.409860472
1403	dextrose	63.68	39.671	12.019	0.486323319
1403	dextrose	270.329	20.71	12.166	7.667967301
1403	dextrose	59.404	45.274	13.283	0.384958691
1403	dextrose	255.984	51.854	11.314	1.07712094
1403	dextrose	58.439	42.048	14.016	0.463272133
1403	dextrose	57.889	48.374	16.879	0.417559876
1403	dextrose	81.106	36.252	17.448	1.076799123
1403	dextrose	60.842	52.158	23.87	0.5338436
1403	maltose	41.08	27.817	11.795	0.62619241
1403	maltose	46.428	34.596	5.963	0.231309254
1403	maltose	50.513	35.777	9.911	0.391122497
1403	maltose	38.58	32.469	10.154	0.371587894
1403	maltose	47.591	35.075	8.894	0.344053988
1403	maltose	42.437	30.185	7.775	0.362128505
1403	maltose	54.201	38.833	10.176	0.365748465
1403	maltose	77.109	43.333	16.111	0.66159171
1403	maltose	44.407	39.356	11.035	0.316374789
1403	maltose	50.04	36.612	8.11	0.302754947
1403	maltose	42.541	34.577	7.775	0.276651782
1403	maltose	34.998	22.351	8	0.560453127
1403	maltose	46.581	39.872	7.211	0.211284804
1403	maltose	48.557	30.361	9.333	0.491632935
1403	maltose	48.831	30.847	7.333	0.376314919
1403	maltose	38.793	27.857	6.325	0.316187872
1403	maltose	41.878	37.765	10.088	0.296218397
1403	maltose	34.801	31.013	6.146	0.22238051
1403	maltose	42.468	31.34	6.667	0.288266569
1403	maltose	39.671	30.761	4.807	0.201533093
1403	maltose	42.374	33.48	6.289	0.237744325
1403	maltose	53.171	37.298	18.785	0.717984285
1403	maltose	41.676	32.728	7.364	0.286523915
1403	maltose	52.717	32.173	8	0.407434271
1403	maltose	50.142	39.469	9.615	0.309484352
1403	maltose	62.032	44.567	13.416	0.418998079
1403	maltose	48.083	34.884	7.087	0.280027984
1403	maltose	45.651	34.416	9.262	0.35697211
1403	maltose	43.086	37.624	11.353	0.345554763
1403	maltose	46.308	32.83	6.864	0.294911382
1403	maltose	44.979	35.283	8.894	0.321348229
1403	maltose	70.241	45.117	16.492	0.569093446
1403	maltose	42.547	26.55	8.028	0.48455966
1403	maltose	46.308	33.099	12.257	0.518096269
1403	maltose	40.617	32.221	8.667	0.339077217
1403	maltose	42	36	9.333	0.302458333
1403	maltose	38.701	25.932	6.146	0.353706236
1403	maltose	43.333	36.98	8.667	0.274633644
1403	maltose	48.826	37.387	6.864	0.239765772
1403	maltose	52.209	41.333	12.293	0.375672496
1403	maltose	50.195	23.113	5.077	0.477040205
1403	maltose	44.192	33.869	8.485	0.326881811
1403	maltose	54.144	39.894	13.482	0.458658549
1403	maltose	46.226	37.6	12.238	0.40014839
1403	maltose	45.607	32.694	5.735	0.244697094
1403	maltose	46.671	37.268	15.563	0.522959733
1403	maltose	45.879	34.801	11.47	0.434504135
1403	maltose	46.937	36.739	11.508	0.400184736
1403	maltose	41.123	32.311	10.541	0.415208088
1403	maltose	29.469	26.907	9.843	0.400647398
1403	maltose	58.187	38.326	13.098	0.518852558
1403	maltose	42.379	33.18	8.433	0.324623564
1403	maltose	45.353	35.34	8.667	0.314732598
1403	maltose	63.094	47.253	11.333	0.320238968
