gene	GRACE	Homann	Mitchell	Noble
orf19.2417	1	0	0	0
orf19.2418	1	0	0	0
orf19.2423	1	0	1	0
orf19.2425	1	0	0	0
orf19.2426	1	0	0	0
orf19.2434	1	0	0	0
orf19.2436	1	0	1	0
orf19.2437	1	0	0	0
orf19.2438	1	0	0	0
orf19.2439	1	0	0	0
orf19.2443	1	0	0	0
orf19.2444	1	0	0	0
orf19.2445	1	0	0	0
orf19.2446	1	0	0	0
orf19.2454	1	0	0	0
orf19.2458	1	0	1	0
orf19.246	1	0	0	0
orf19.2461	1	0	0	1
orf19.2462	1	0	0	0
orf19.2463	1	0	0	1
orf19.2467	1	0	0	0
orf19.2468	1	0	0	0
orf19.2474	1	0	0	0
orf19.2481	1	0	0	0
orf19.2484	1	0	0	1
orf19.2488	1	0	0	0
orf19.2496	1	0	0	0
orf19.25	1	0	0	0
orf19.250	1	0	0	0
orf19.2501	1	0	0	0
orf19.2504	1	0	0	0
orf19.2507	1	0	0	0
orf19.2511	1	0	0	0
orf19.2514	1	0	0	0
orf19.2517	1	0	0	1
orf19.2518	1	0	0	1
orf19.2519	1	0	0	0
orf19.2524	1	0	0	0
orf19.2528	1	0	0	0
orf19.2534	1	0	0	1
orf19.2538	1	0	0	1
orf19.2541	1	0	0	0
orf19.2546	1	0	0	0
orf19.2551	1	0	0	0
orf19.2553	1	0	0	0
orf19.2555	1	0	0	0
orf19.2557	1	0	0	0
orf19.2559	1	0	0	0
orf19.2560	1	0	0	0
orf19.2563	1	0	0	0
orf19.2564	1	0	0	0
orf19.2571	1	0	0	0
orf19.2573	1	0	0	0
orf19.2574	1	0	0	0
orf19.2575	1	0	0	0
orf19.2580	1	0	0	0
orf19.2581	1	0	0	0
orf19.2583	1	0	0	0
orf19.2594	1	0	0	0
orf19.26	1	0	0	0
orf19.260	1	0	0	1
orf19.2600	1	0	0	0
orf19.2601	1	0	0	0
orf19.2602	1	0	0	0
orf19.2607	1	0	0	0
orf19.2608	1	0	0	0
orf19.2609	1	0	0	0
orf19.2611	1	0	0	0
orf19.2618	1	0	0	0
orf19.262	1	0	0	0
orf19.2622	1	0	0	0
orf19.2626	1	0	0	0
orf19.2629	1	0	0	0
orf19.2637	1	0	0	0
orf19.2640	1	0	0	0
orf19.2641	1	0	0	0
orf19.2643	1	0	0	0
orf19.2644	1	0	0	0
orf19.2653	1	0	1	1
orf19.2655	1	0	0	0
orf19.2659	1	0	0	0
orf19.2660	1	0	1	0
orf19.2665	1	0	0	0
orf19.2666	1	0	0	0
orf19.2671	1	0	0	0
orf19.2672	1	0	0	0
orf19.2675	1	0	0	0
orf19.2677	1	0	0	0
orf19.2678	1	0	1	0
orf19.2681	1	0	0	0
orf19.2682	1	0	0	0
orf19.2687	1	0	0	0
orf19.2688	1	0	0	0
orf19.269	1	0	0	0
orf19.2690	1	0	0	0
orf19.2693	1	0	0	0
orf19.2694	1	0	0	0
orf19.2695	1	0	1	1
orf19.2703	1	0	0	1
orf19.2706	1	0	0	0
orf19.2708	1	0	0	0
orf19.2709	1	0	0	0
orf19.2712	1	0	0	0
orf19.2715	1	0	0	0
orf19.2717	1	0	0	0
orf19.2720	1	0	0	0
orf19.2727	1	0	0	0
orf19.273	1	0	0	0
orf19.2735	1	0	0	0
orf19.2736	1	0	0	0
orf19.2738	1	0	0	0
orf19.274	1	0	0	0
orf19.2747	1	1	1	0
orf19.2749	1	0	0	0
orf19.275	1	0	0	0
orf19.2751	1	0	0	0
orf19.2753	1	1	1	1
orf19.2755	1	0	0	0
orf19.2756	1	0	0	1
orf19.2760	1	0	0	0
orf19.2761	1	0	0	0
orf19.2762	1	0	1	0
orf19.277	1	0	0	0
orf19.2771	1	0	0	1
orf19.2772	1	0	0	0
orf19.2775	1	0	0	0
orf19.2778	1	0	0	0
orf19.2781	1	0	0	1
orf19.2782	1	0	0	0
orf19.2790	1	0	0	0
orf19.2791	1	0	0	0
orf19.2792	1	0	0	0
orf19.2796	1	0	0	1
orf19.2798	1	0	0	0
orf19.2799	1	0	0	0
orf19.28	1	0	0	0
orf19.2803	1	0	0	0
orf19.2810	1	0	0	0
orf19.2818	1	0	0	0
orf19.2820	1	0	0	0
orf19.2821	1	0	0	1
orf19.2825	1	0	0	0
orf19.2828	1	0	0	0
orf19.2830	1	0	0	0
orf19.2831	1	0	0	0
orf19.2835	1	0	0	0
orf19.2836	1	0	0	1
orf19.2838	1	0	0	1
orf19.2839	1	0	0	0
orf19.2842	1	1	1	1
orf19.2843	1	0	0	0
orf19.2844	1	0	0	0
orf19.2847	1	0	0	0
orf19.2848	1	0	0	0
orf19.2857	1	0	0	0
orf19.2862	1	0	0	0
orf19.2863	1	0	0	0
orf19.287	1	0	0	1
orf19.2871	1	0	0	0
orf19.2873	1	0	0	0
orf19.2875	1	0	0	0
orf19.2876	1	0	0	0
orf19.2877	1	0	0	0
orf19.2881	1	0	0	0
orf19.2882	1	0	0	0
orf19.2884	1	0	0	0
orf19.2885	1	0	0	0
orf19.2886	1	0	0	1
orf19.2887	1	0	0	0
orf19.2893	1	0	0	0
orf19.29	1	0	0	0
orf19.2908	1	0	0	0
orf19.2909	1	0	0	0
orf19.2917	1	0	0	0
orf19.2921	1	0	0	0
orf19.2922	1	0	0	0
orf19.2926	1	0	0	0
orf19.2929	1	0	0	0
orf19.2930	1	0	0	0
orf19.2934	1	0	0	0
orf19.2937	1	0	0	0
orf19.2939	1	0	0	0
orf19.2940	1	0	0	0
orf19.2941	1	0	0	1
orf19.2942	1	0	0	0
orf19.2943	1	0	0	0
orf19.2945	1	0	0	0
orf19.2946	1	0	0	0
orf19.2947	1	0	0	0
orf19.2948	1	0	0	0
orf19.2951	1	0	0	0
orf19.2952	1	0	0	1
orf19.2953	1	0	0	0
orf19.2956	1	0	0	0
orf19.2958	1	0	0	0
orf19.2960	1	0	0	0
orf19.2961	1	1	0	1
orf19.2964	1	0	0	0
orf19.2965	1	0	0	0
orf19.2966	1	0	0	0
orf19.2967	1	0	0	0
orf19.297	1	0	0	0
orf19.2970	1	0	0	0
